Date,Price,Open,High,Low,Vol.,Change %
Dec 06 2018,24947.67,24737.42,24951.01,24242.22,471.69,-0.0032
Dec 04 2018,25027.07,25752.56,25773.12,25008.11,418.90,-0.031
Dec 03 2018,25826.43,25779.57,25980.21,25670.51,388.48,0.0113
Nov 30 2018,25538.46,25307.14,25549.71,25250.97,482.25,0.0079
Nov 29 2018,25338.84,25343.65,25479.04,25202.79,305.11,-0.0011
Nov 28 2018,25366.43,24832.84,25368.93,24832.84,362.16,0.025
Nov 27 2018,24748.73,24557.02,24750.73,24416.03,308.25,0.0044
Nov 26 2018,24640.24,24364.13,24673.29,24364.13,306.28,0.0146
Nov 23 2018,24285.95,24336.4,24408.8,24268.74,155.94,-0.0073
Nov 21 2018,24464.69,24541.65,24669.79,24463.28,289.37,0
Nov 20 2018,24465.64,24618.68,24707.26,24368.98,445.92,-0.0221
Nov 19 2018,25017.44,25392.61,25392.61,24900.98,358.09,-0.0156
Nov 16 2018,25413.22,25242.35,25510.23,25147.8,354.46,0.0049
Nov 15 2018,25289.27,25061.48,25354.56,24787.79,392.75,0.0083
Nov 14 2018,25080.5,25388.08,25501.29,24935.82,384.24,-0.0081
Nov 13 2018,25286.49,25321.21,25511.03,25193.78,339.69,-0.004
Nov 12 2018,25387.18,25959.33,25966.71,25340.51,346.91,-0.0232
Nov 09 2018,25989.3,26149.11,26161.49,25882.91,324.45,-0.0077
Nov 08 2018,26191.22,26139.59,26277.82,26081.9,295.65,0.0004
Nov 07 2018,26180.3,25788.46,26200.14,25765.88,361.78,0.0213
Nov 06 2018,25635.01,25452.83,25651.86,25444.9,265.45,0.0068
Nov 05 2018,25461.7,25261.47,25507.35,25261.47,334.74,0.0076
Nov 02 2018,25270.83,25443.6,25578.98,25078.72,429.48,-0.0043
Nov 01 2018,25380.74,25142.08,25396.47,25108.11,383.97,0.0106
Oct 31 2018,25115.76,25008.82,25336.55,25008.82,448.93,0.0097
